hour amb tz_v3 tz_v35 tz_hy ts_v3 ts_v35 ts_hy p_v3 p_v35 p_hy
15.5 10.399999999999977 22.876868437923918 31.864430237402814 23.408036727792137 18.0 35.0 18.0 0.8270776600277571 0.9290309030022691 0.7922514476892349
15.75 10.338671874999989 22.986066263717873 23.20559468331618 23.430330199444995 18.0 18.0 18.0 0.750661014008142 1.136040030871518 0.7402981236372271
16.0 10.280208333333348 22.9659400128632 31.573363922808028 23.416203211510435 18.0 35.0 18.0 0.7034275828174452 1.0131320291548014 0.6917373635822175
16.25 10.181640625 22.97678543498614 22.971638942921743 23.399049487568163 18.0 18.0 18.0 0.6469103655204 1.0927899666819696 0.6421716445646923
16.5 10.0 22.931404244629675 31.20248282447278 23.375650544094526 18.0 35.0 18.0 0.6024214867077142 1.1151991413607358 0.593298579304443
16.75 9.698046874999989 22.97980192731569 22.70711562896139 23.468465830000355 18.0 18.0 18.0 0.5391359485233871 1.043873338192495 0.5236005069886761
17.0 9.307291666666686 22.8571234129833 30.829216508244485 23.451166746253534 18.0 35.0 18.0 0.5148598859551775 1.2236331312197704 0.4810076111270439
17.25 8.887890625000011 22.793190814822196 22.467267278941506 23.425320656882093 18.0 18.0 18.0 0.4832732525977178 0.9995088725250264 0.4452550719009364
17.5 8.5 22.686274931724938 30.527379460777297 23.391316616653 18.0 35.0 18.0 0.4643317133704498 1.307228239388488 0.4153893088483721
17.75 8.149765624999986 22.04950363091882 21.864112780370192 22.822126418154994 18.0 18.0 18.0 0.385727830617949 0.8877189961779359 0.3274496449157936
18.0 7.801458333333358 22.35403213952293 29.671664196650852 23.28360388911085 19.04869458079338 35.0 18.794845402240753 0.2905716007982185 1.607942429549349 0.20979625977604102
18.25 7.452421875000027 21.879553878788272 21.617573601237723 22.95428535608852 18.49574115872383 18.0 18.128891110420227 0.33312936849796976 0.8419595770673467 0.23028000654596695
